itemID|pop|rank_main_topic
61237|67.0|48.0
57212|152.0|60.0
78743|1075.0|5.0
53473|46.0|114.0
61686|4.0|256.0
59146|59.0|33.0
69702|1.0|777.0
54640|44.0|28.0
53898|12.0|9.0
12316|125.0|4.0
17284|477.0|15.0
15813|189.0|8.0
24075|51.0|6.0
54274|235.0|46.0
9338|77.0|11.0
52234|358.0|29.0
47344|106.0|21.0
2230|24.0|222.0
37833|16.0|241.0
26112|169.0|30.0
50982|14.0|58.0
45278|269.0|7.0
5512|42.0|3.0
77784|58.0|52.0
26365|114.0|66.0
75305|1146.0|2.0
21692|37.0|2.0
47217|13.0|276.0
75928|45.0|26.0
17342|129.0|49.0
66247|2889.0|1.0
44024|373.0|27.0
40898|716.0|1.0
5117|37.0|180.0
6798|67.0|1.0
29335|53.0|109.0
48175|8.0|4.0
47684|15.0|5.0
53297|183.0|50.0
28157|211.0|3.0
19072|55.0|68.0
59411|782.0|1.0
1831|249.0|9.0
8893|93.0|41.0
57166|7.0|22.0
34235|14.0|290.0
15041|13.0|57.0
67455|51.0|102.0
45246|30.0|21.0
19880|72.0|44.0
25921|5.0|33.0
20860|92.0|129.0
50027|266.0|34.0
13772|35.0|93.0
30295|125.0|92.0
45799|1912.0|1.0
25451|249.0|6.0
50117|728.0|1.0
24102|115.0|109.0
61637|12.0|230.0
60565|42.0|12.0
56310|54.0|23.0
75473|2.0|373.0
67006|52.0|1.0
9219|83.0|10.0
36071|1155.0|2.0
51659|47.0|20.0
42531|172.0|16.0
10904|75.0|130.0
68812|23.0|9.0
15405|138.0|23.0
17783|1074.0|2.0
7674|198.0|19.0
58522|4009.0|1.0
78056|169.0|63.0
54876|210.0|1.0
35240|81.0|90.0
22764|327.0|10.0
27887|169.0|68.0
43285|1.0|955.0
67241|174.0|51.0
38131|170.0|55.0
76956|137.0|29.0
22484|34.0|2.0
49425|122.0|56.0
11646|1.0|724.0
33277|18.0|3.0
37861|286.0|1.0
40935|33.0|1.0
40134|254.0|8.0
26129|184.0|13.0
19727|30.0|34.0
45481|255.0|4.0
15528|217.0|15.0
74398|2182.0|2.0
70728|499.0|2.0
66215|502.0|2.0
32886|194.0|19.0
25904|469.0|1.0
74947|993.0|6.0
5245|584.0|14.0
74473|661.0|9.0
27399|1242.0|2.0
51891|387.0|20.0
46956|53.0|3.0
58358|155.0|15.0
74038|234.0|12.0
42149|67.0|46.0
31879|82.0|9.0
9196|1317.0|1.0
75034|185.0|13.0
19957|77.0|147.0
8960|1493.0|3.0
27957|865.0|1.0
10148|100.0|5.0
3479|36.0|18.0
59717|380.0|8.0
28815|493.0|19.0
41036|13.0|276.0
29323|160.0|36.0
73470|26.0|4.0
71215|126.0|90.0
32358|7.0|19.0
28159|71.0|54.0
3596|58.0|16.0
23574|19.0|14.0
27200|528.0|15.0
66814|507.0|18.0
77799|138.0|65.0
53528|10.0|6.0
49091|235.0|3.0
1776|102.0|53.0
36625|151.0|16.0
20922|123.0|71.0
64343|174.0|8.0
53965|228.0|6.0
20869|15.0|7.0
55400|42.0|286.0
53893|15.0|47.0
43320|23.0|206.0
70721|192.0|3.0
19033|130.0|92.0
24603|167.0|14.0
1352|2.0|558.0
43410|6.0|235.0
75530|19.0|11.0
73032|639.0|1.0
14312|652.0|13.0
10837|270.0|34.0
52936|299.0|26.0
29485|191.0|44.0
14027|529.0|1.0
78531|30.0|369.0
51482|44.0|279.0
27647|51.0|1.0
67523|573.0|9.0
70463|140.0|10.0
27989|139.0|50.0
64239|929.0|4.0
31632|21.0|239.0
41312|120.0|77.0
762|82.0|113.0
71883|70.0|121.0
60540|68.0|80.0
22149|15.0|547.0
32061|108.0|52.0
5517|23.0|18.0
61540|251.0|42.0
20641|469.0|1.0
33223|3.0|4.0
74419|112.0|15.0
49220|20.0|111.0
23579|46.0|52.0
59576|25.0|383.0
78258|398.0|2.0
41872|235.0|39.0
12419|119.0|1.0
32327|119.0|103.0
76874|50.0|6.0
64652|276.0|29.0
77613|55.0|30.0
5409|134.0|36.0
71270|780.0|1.0
30997|14.0|1.0
26319|536.0|1.0
8414|172.0|25.0
8703|268.0|20.0
61572|805.0|5.0
26398|268.0|32.0
52395|26.0|53.0
10195|98.0|127.0
77474|69.0|9.0
12526|762.0|10.0
57845|1.0|506.0
75423|36.0|316.0
2728|523.0|6.0
66703|53.0|82.0
76298|90.0|2.0
39549|17.0|508.0
15969|76.0|148.0
47120|3732.0|1.0
616|461.0|21.0
1969|461.0|1.0
28441|1.0|777.0
40712|80.0|65.0
29782|133.0|4.0
27667|116.0|23.0
23309|341.0|1.0
33106|238.0|44.0
46608|71.0|1.0
75796|89.0|1.0
38074|1362.0|3.0
3259|2430.0|1.0
47103|543.0|1.0
62341|1632.0|1.0
54604|38.0|125.0
11609|430.0|1.0
46750|137.0|50.0
22461|34.0|44.0
15606|365.0|5.0
4030|215.0|22.0
64861|60.0|28.0
12337|687.0|2.0
11374|187.0|5.0
41503|20.0|135.0
27720|397.0|3.0
40399|258.0|36.0
8643|114.0|47.0
61593|69.0|139.0
68724|103.0|11.0
68253|1.0|724.0
3972|274.0|30.0
36728|187.0|29.0
59324|529.0|16.0
14909|1.0|506.0
78861|59.0|9.0
64907|103.0|38.0
54097|621.0|2.0
10522|480.0|20.0
59522|147.0|26.0
20367|42.0|1.0
22173|266.0|2.0
50428|123.0|71.0
15705|4.0|826.0
8461|3.0|16.0
3083|696.0|1.0
5226|935.0|6.0
59231|192.0|33.0
16335|590.0|8.0
12723|361.0|16.0
48972|228.0|27.0
11569|1.0|117.0
36792|126.0|55.0
8756|130.0|66.0
25308|133.0|52.0
39787|77.0|14.0
49979|130.0|2.0
60615|121.0|3.0
38037|90.0|105.0
64817|34.0|11.0
44985|197.0|3.0
68901|51.0|103.0
78449|33.0|138.0
75981|124.0|95.0
17806|1.0|324.0
8707|1.0|955.0
46055|102.0|39.0
9740|144.0|47.0
69803|2703.0|1.0
37807|325.0|13.0
23117|63.0|86.0
75754|157.0|38.0
77870|122.0|22.0
72287|49.0|117.0
2145|51.0|48.0
55007|150.0|9.0
56814|5.0|575.0
495|771.0|12.0
59325|157.0|68.0
78018|580.0|2.0
79044|120.0|59.0
40795|55.0|168.0
8084|989.0|1.0
1788|32.0|26.0
67283|72.0|29.0
51404|511.0|11.0
64816|477.0|2.0
26340|451.0|2.0
48335|103.0|119.0
41612|181.0|32.0
49987|242.0|38.0
71050|96.0|41.0
44997|219.0|49.0
9511|86.0|136.0
78032|46.0|19.0
1346|90.0|131.0
74780|118.0|101.0
7033|241.0|41.0
33669|30.0|327.0
42989|222.0|2.0
58677|74.0|134.0
26579|158.0|56.0
24881|56.0|164.0
16413|13.0|174.0
25881|146.0|5.0
71187|78.0|167.0
53714|157.0|1.0
13869|351.0|7.0
14346|261.0|1.0
27124|309.0|1.0
16121|79.0|3.0
74565|908.0|5.0
66811|9.0|15.0
37949|3.0|481.0
26511|48.0|40.0
3043|73.0|28.0
31223|67.0|31.0
70197|102.0|37.0
74988|220.0|48.0
47415|1079.0|8.0
52146|1334.0|3.0
43185|59.0|157.0
40692|3280.0|1.0
8648|462.0|5.0
42241|73.0|26.0
2500|126.0|90.0
35715|19.0|235.0
3947|72.0|1.0
18700|44.0|120.0
37636|6.0|15.0
8639|26.0|1.0
70772|9.0|355.0
67401|14.0|43.0
51397|176.0|2.0
46860|1134.0|7.0
56648|89.0|23.0
5291|1203.0|3.0
14800|368.0|2.0
78982|27.0|31.0
29428|1073.0|1.0
4373|634.0|1.0
75282|614.0|2.0
51931|224.0|45.0
66192|101.0|114.0
78786|173.0|3.0
37647|33.0|15.0
58903|199.0|13.0
41910|38.0|81.0
76486|248.0|3.0
31627|76.0|71.0
10993|791.0|1.0
38971|19.0|218.0
23230|90.0|4.0
51608|31.0|160.0
16129|49.0|106.0
69783|43.0|118.0
27790|82.0|11.0
50429|161.0|7.0
43882|3.0|117.0
50330|1803.0|1.0
29525|129.0|95.0
55709|126.0|7.0
1193|509.0|3.0
50232|14.0|159.0
6297|1.0|25.0
53224|43.0|123.0
31675|164.0|27.0
76004|50.0|105.0
65530|261.0|10.0
46318|225.0|3.0
9783|689.0|3.0
46677|104.0|89.0
73049|127.0|70.0
27748|92.0|43.0
53772|161.0|56.0
23720|298.0|27.0
25998|348.0|22.0
44258|317.0|17.0
4956|10.0|5.0
20936|1696.0|2.0
20423|491.0|1.0
65569|35.0|1.0
31200|313.0|2.0
50892|61.0|89.0
54531|971.0|7.0
26506|6.0|215.0
51013|192.0|6.0
29268|192.0|45.0
38541|251.0|1.0
8873|87.0|111.0
65542|100.0|30.0
14704|102.0|88.0
75904|154.0|6.0
45332|975.0|4.0
66237|157.0|1.0
12387|372.0|3.0
35018|163.0|1.0
51757|19.0|216.0
59746|33.0|98.0
19054|88.0|31.0
54311|73.0|43.0
32139|237.0|9.0
50816|624.0|11.0
25487|383.0|14.0
18162|116.0|6.0
29396|1335.0|2.0
47462|1.0|262.0
31213|93.0|4.0
42836|1975.0|1.0
46656|102.0|22.0
67099|684.0|13.0
13949|81.0|12.0
8034|1.0|453.0
72468|455.0|4.0
28674|733.0|6.0
33908|282.0|5.0
14940|19.0|205.0
47409|440.0|14.0
41390|736.0|5.0
24871|6.0|252.0
24448|31.0|7.0
64785|217.0|2.0
6890|40.0|169.0
39784|237.0|2.0
6373|157.0|8.0
71876|327.0|23.0
55666|86.0|8.0
35750|1124.0|1.0
67124|21.0|425.0
28955|88.0|84.0
37175|253.0|36.0
57336|28.0|354.0
7000|15.0|508.0
31434|38.0|175.0
34225|21.0|76.0
64685|81.0|34.0
61437|97.0|6.0
14200|23.0|66.0
20629|32.0|99.0
60685|47.0|18.0
68465|179.0|59.0
40142|38.0|86.0
17539|270.0|5.0
62971|50.0|253.0
69332|22.0|314.0
26937|18.0|493.0
40988|50.0|179.0
60303|37.0|224.0
40465|345.0|26.0
73977|77.0|1.0
26754|27.0|130.0
23059|2.0|710.0
48752|60.0|7.0
34940|3.0|86.0
55478|1473.0|2.0
70906|33.0|49.0
65472|73.0|78.0
28585|133.0|65.0
7047|272.0|31.0
40629|31.0|356.0
492|1.0|159.0
65959|805.0|7.0
24760|22.0|73.0
36098|1308.0|4.0
12945|73.0|52.0
6888|228.0|1.0
19843|570.0|5.0
23148|459.0|7.0
72920|22.0|215.0
9870|124.0|8.0
15514|328.0|9.0
31737|87.0|45.0
77508|126.0|21.0
1156|321.0|17.0
15711|132.0|38.0
58586|45.0|82.0
59838|2.0|608.0
68289|42.0|10.0
51303|38.0|12.0
44991|395.0|1.0
63081|3.0|521.0
26719|975.0|6.0
7666|205.0|3.0
54482|133.0|87.0
17742|48.0|260.0
63229|131.0|1.0
28282|56.0|194.0
16679|7.0|182.0
15675|198.0|5.0
21474|9.0|9.0
25086|422.0|2.0
71862|54.0|16.0
75813|71.0|4.0
4763|297.0|2.0
77515|10.0|136.0
4761|878.0|1.0
60533|227.0|12.0
70890|14.0|275.0
16698|774.0|11.0
25076|14.0|1.0
70912|84.0|27.0
63010|30.0|1.0
46504|35.0|289.0
48279|3.0|521.0
68989|52.0|62.0
55405|236.0|1.0
39655|42.0|78.0
76440|153.0|4.0
51462|21.0|60.0
71797|128.0|50.0
14845|28.0|110.0
22902|49.0|108.0
57241|162.0|5.0
33984|33.0|152.0
48487|101.0|90.0
42256|59.0|186.0
41819|58.0|94.0
11895|27.0|79.0
41491|26.0|401.0
59588|278.0|6.0
28502|327.0|2.0
77200|20.0|231.0
1689|37.0|310.0
31955|771.0|2.0
20593|80.0|163.0
55284|29.0|112.0
34748|526.0|1.0
74772|100.0|3.0
23011|85.0|9.0
47498|96.0|99.0
30304|5.0|425.0
3013|99.0|1.0
69540|206.0|17.0
32639|33.0|1.0
10124|69.0|25.0
71356|80.0|35.0
8956|30.0|8.0
38520|194.0|62.0
43578|22.0|77.0
63511|73.0|10.0
2794|99.0|23.0
14573|56.0|45.0
65061|30.0|124.0
67841|12.0|230.0
56174|1640.0|2.0
6816|86.0|7.0
53210|148.0|30.0
7694|42.0|134.0
31885|21.0|72.0
34594|55.0|17.0
38370|47.0|1.0
52785|14.0|166.0
22872|192.0|25.0
52991|5.0|399.0
14499|85.0|35.0
70513|33.0|71.0
16030|194.0|3.0
67161|55.0|21.0
43813|1324.0|4.0
70345|2.0|373.0
55004|211.0|4.0
21239|240.0|6.0
18555|82.0|67.0
10402|224.0|4.0
77694|116.0|4.0
48414|85.0|27.0
14802|260.0|35.0
16370|115.0|79.0
28698|94.0|78.0
39716|1749.0|1.0
56719|43.0|124.0
40001|12.0|567.0
66797|41.0|121.0
33815|10.0|198.0
41981|46.0|19.0
14592|33.0|114.0
16291|80.0|10.0
3124|1.0|1092.0
55003|149.0|58.0
21810|50.0|76.0
45357|153.0|42.0
52587|4.0|9.0
49481|2.0|176.0
73534|23.0|439.0
40978|32.0|311.0
21396|446.0|1.0
68808|644.0|13.0
74697|65.0|171.0
1841|57.0|20.0
56301|19.0|99.0
48440|64.0|209.0
53846|28.0|168.0
72311|11.0|58.0
50728|2.0|888.0
50141|9.0|668.0
6231|11.0|22.0
63002|1.0|85.0
30790|1427.0|2.0
13453|427.0|3.0
76769|173.0|34.0
39747|313.0|31.0
30471|128.0|1.0
33848|389.0|1.0
33909|82.0|18.0
68183|55.0|233.0
71043|121.0|97.0
31245|846.0|10.0
20308|74.0|75.0
62143|118.0|57.0
76655|213.0|11.0
46617|238.0|21.0
52470|24.0|184.0
71310|28.0|41.0
57172|3.0|16.0
71159|35.0|143.0
48176|26.0|145.0
11175|69.0|191.0
52634|334.0|32.0
55144|149.0|3.0
53062|66.0|200.0
37255|921.0|9.0
64876|5.0|247.0
44215|51.0|72.0
57144|199.0|6.0
68049|12.0|418.0
76109|338.0|6.0
30134|329.0|33.0
37009|74.0|183.0
14163|300.0|1.0
54550|137.0|42.0
48258|32.0|73.0
56414|116.0|1.0
77619|299.0|32.0
63213|260.0|22.0
19355|157.0|68.0
56111|3.0|348.0
9445|1.0|39.0
21661|53.0|1.0
3644|237.0|1.0
10172|140.0|27.0
23082|301.0|1.0
31927|121.0|35.0
63505|459.0|1.0
16662|19.0|476.0
38948|4.0|630.0
65031|68.0|1.0
22590|27.0|170.0
29359|22.0|451.0
14820|48.0|40.0
30201|129.0|53.0
57715|139.0|8.0
27987|41.0|81.0
2503|18.0|154.0
74220|40.0|3.0
34596|42.0|141.0
48617|1.0|506.0
4077|78.0|3.0
70752|13.0|244.0
58868|27.0|395.0
8251|147.0|5.0
66177|89.0|107.0
72691|30.0|327.0
17455|325.0|1.0
40104|2.0|30.0
23622|225.0|1.0
19458|1307.0|1.0
38364|4.0|442.0
39817|40.0|296.0
57786|28.0|160.0
47282|24.0|37.0
1511|205.0|9.0
36007|2.0|50.0
65387|311.0|18.0
51514|149.0|24.0
50951|14.0|100.0
44606|73.0|101.0
28318|5.0|283.0
61335|1588.0|3.0
69298|211.0|7.0
4917|7.0|103.0
38375|1.0|777.0
53120|191.0|2.0
62943|262.0|20.0
71833|2.0|608.0
42088|146.0|4.0
18953|1.0|506.0
71645|45.0|11.0
68265|51.0|72.0
8383|43.0|130.0
5553|256.0|3.0
9983|1.0|777.0
75518|140.0|1.0
17727|1557.0|2.0
30734|963.0|5.0
22214|9.0|668.0
58019|1250.0|3.0
6815|286.0|1.0
49663|77.0|173.0
13653|24.0|43.0
64181|504.0|18.0
65981|172.0|36.0
13492|34.0|96.0
50793|45.0|271.0
54401|150.0|45.0
5027|3365.0|1.0
1604|77.0|3.0
1425|186.0|12.0
63769|23.0|407.0
46849|51.0|211.0
76689|59.0|186.0
9789|108.0|5.0
32632|49.0|87.0
20698|799.0|5.0
17805|5.0|425.0
71077|233.0|26.0
20300|4.0|459.0
8384|4.0|4.0
69786|62.0|112.0
73827|6.0|2.0
10667|109.0|66.0
60430|1165.0|4.0
32574|228.0|43.0
15412|216.0|4.0
34801|165.0|5.0
73533|169.0|9.0
17283|74.0|153.0
44697|105.0|31.0
39483|116.0|64.0
11442|46.0|48.0
73264|31.0|106.0
43134|195.0|32.0
24764|243.0|24.0
29711|426.0|19.0
32266|798.0|9.0
68157|74.0|6.0
14287|336.0|3.0
11129|4.0|33.0
54034|68.0|106.0
72593|104.0|7.0
60698|7.0|276.0
64957|444.0|1.0
53497|506.0|12.0
60124|443.0|22.0
20894|58.0|9.0
35125|148.0|60.0
14823|118.0|61.0
74331|161.0|35.0
45831|198.0|29.0
33342|339.0|2.0
18180|38.0|106.0
68534|86.0|45.0
55704|46.0|2.0
65996|135.0|51.0
52897|209.0|55.0
15477|251.0|37.0
9175|670.0|11.0
68075|122.0|59.0
26043|118.0|24.0
39620|26.0|176.0
34795|162.0|1.0
62640|343.0|1.0
49447|126.0|20.0
17289|20.0|75.0
15704|1.0|777.0
65783|23.0|10.0
33356|88.0|108.0
65948|3.0|675.0
27152|339.0|6.0
62201|99.0|123.0
5330|71.0|12.0
52453|157.0|7.0
58136|19.0|90.0
76306|12.0|251.0
38782|106.0|69.0
30120|32.0|25.0
76243|51.0|122.0
7886|29.0|346.0
72297|85.0|138.0
50908|78.0|10.0
36331|190.0|12.0
39060|87.0|19.0
46942|55.0|18.0
13107|267.0|18.0
35210|65.0|67.0
25828|119.0|7.0
16507|81.0|3.0
52087|1166.0|2.0
64778|13.0|172.0
66217|22.0|128.0
65224|2.0|296.0
28068|478.0|1.0
57509|594.0|8.0
65037|489.0|3.0
36322|255.0|10.0
51140|10.0|35.0
13793|13.0|35.0
63688|10.0|218.0
5739|385.0|5.0
72761|84.0|4.0
64670|25.0|383.0
63009|8.0|43.0
5521|135.0|20.0
49295|10.0|621.0
45948|61.0|63.0
78836|11.0|22.0
48423|975.0|3.0
57111|867.0|4.0
37529|82.0|35.0
53695|2850.0|1.0
62484|27.0|366.0
21995|18.0|467.0
54063|331.0|23.0
598|172.0|2.0
4428|111.0|11.0
62415|86.0|8.0
73707|203.0|59.0
77228|192.0|64.0
26060|507.0|11.0
8803|33.0|46.0
18438|384.0|7.0
73952|6.0|371.0
78516|12.0|125.0
17758|263.0|8.0
46149|54.0|55.0
49257|1.0|65.0
68215|29.0|184.0
52763|77.0|12.0
31324|25.0|70.0
19819|60.0|4.0
41013|249.0|39.0
68160|51.0|20.0
37237|277.0|10.0
53153|23.0|9.0
77199|36.0|138.0
4265|85.0|65.0
77556|285.0|34.0
44744|109.0|106.0
73672|222.0|46.0
46673|460.0|13.0
31259|119.0|60.0
24026|12.0|3.0
1567|347.0|2.0
4350|1.0|37.0
64485|34.0|296.0
49303|5.0|67.0
12886|291.0|3.0
77891|92.0|14.0
71455|117.0|22.0
12157|29.0|70.0
45645|70.0|32.0
57764|40.0|56.0
75834|26.0|75.0
61894|8.0|1.0
72101|78.0|97.0
33630|72.0|4.0
19949|169.0|9.0
42222|125.0|54.0
25903|39.0|299.0
44734|39.0|299.0
66868|386.0|4.0
70913|23.0|206.0
36943|543.0|1.0
369|375.0|7.0
54501|314.0|30.0
43678|18.0|73.0
56932|23.0|81.0
58436|68.0|10.0
63435|72.0|71.0
3058|20.0|2.0
42798|74.0|3.0
56963|25.0|98.0
48486|38.0|36.0
27170|209.0|23.0
15423|540.0|1.0
38570|51.0|19.0
77620|107.0|21.0
1607|804.0|9.0
3570|189.0|35.0
27120|194.0|20.0
14983|227.0|2.0
75574|154.0|6.0
27962|176.0|4.0
21783|652.0|1.0
27625|235.0|25.0
55821|23.0|66.0
33093|7.0|408.0
16856|4.0|53.0
52069|132.0|38.0
21683|66.0|3.0
42229|7.0|126.0
1768|12.0|6.0
39322|20.0|46.0
38610|152.0|8.0
41520|158.0|17.0
64143|102.0|74.0
60266|41.0|80.0
39404|34.0|13.0
78387|313.0|18.0
47665|172.0|52.0
4532|81.0|68.0
35369|43.0|12.0
62653|26.0|181.0
19373|71.0|187.0
26453|7.0|126.0
60861|958.0|8.0
68373|163.0|15.0
61877|2.0|2.0
24782|384.0|4.0
43347|305.0|3.0
66202|88.0|10.0
55313|9.0|372.0
53761|495.0|14.0
5253|14.0|389.0
74255|20.0|168.0
29030|150.0|19.0
72999|23.0|13.0
17546|30.0|202.0
61458|33.0|195.0
8580|116.0|80.0
50941|447.0|3.0
13985|156.0|9.0
17001|14.0|389.0
11918|133.0|1.0
31311|33.0|119.0
53350|128.0|25.0
14547|324.0|7.0
43480|2.0|52.0
26917|71.0|6.0
19806|53.0|59.0
24846|68.0|195.0
71557|34.0|111.0
56300|293.0|3.0
14020|207.0|2.0
34442|32.0|73.0
58853|19.0|7.0
43268|64.0|110.0
73575|2.0|381.0
49553|47.0|8.0
8479|11.0|324.0
1975|105.0|68.0
34441|212.0|16.0
52919|279.0|8.0
29844|58.0|104.0
70182|232.0|3.0
16025|2.0|373.0
4195|79.0|30.0
69978|451.0|21.0
6131|566.0|1.0
65301|131.0|89.0
45369|242.0|1.0
74020|83.0|48.0
77255|361.0|6.0
4833|342.0|8.0
53213|68.0|56.0
78125|13.0|5.0
60072|13.0|4.0
43131|46.0|189.0
25916|90.0|103.0
33548|262.0|2.0
63219|40.0|57.0
65851|336.0|8.0
33298|72.0|76.0
12460|39.0|61.0
59786|46.0|232.0
20620|2.0|33.0
36560|143.0|75.0
7435|8.0|385.0
41469|84.0|139.0
78286|13.0|42.0
39289|16.0|491.0
66645|467.0|20.0
43409|140.0|3.0
11035|44.0|120.0
62594|186.0|2.0
17770|22.0|194.0
49187|444.0|1.0
60269|116.0|78.0
27694|5.0|118.0
64095|5.0|118.0
623|22.0|39.0
57016|1.0|262.0
40961|96.0|60.0
26875|138.0|13.0
63460|155.0|10.0
1122|187.0|47.0
59936|121.0|1.0
72927|45.0|50.0
46549|41.0|129.0
37709|77.0|40.0
1660|396.0|18.0
74946|52.0|9.0
18478|79.0|38.0
73344|278.0|9.0
9795|245.0|24.0
28572|47.0|53.0
48439|630.0|6.0
49850|31.0|12.0
516|53.0|13.0
18308|3.0|675.0
42058|487.0|1.0
7468|160.0|20.0
9282|34.0|32.0
34732|9.0|487.0
1040|74.0|183.0
47291|52.0|71.0
11701|41.0|20.0
77362|12.0|53.0
46931|110.0|29.0
22258|13.0|29.0
12725|13.0|399.0
59065|9.0|116.0
47338|28.0|72.0
19735|181.0|32.0
73252|39.0|51.0
3488|5.0|90.0
36703|214.0|28.0
18850|123.0|17.0
9379|130.0|32.0
1816|172.0|6.0
49214|172.0|62.0
10381|94.0|123.0
76575|2.0|373.0
29536|97.0|8.0
64057|196.0|31.0
25416|121.0|97.0
20812|7.0|195.0
26190|26.0|114.0
50143|33.0|5.0
25641|525.0|10.0
3006|120.0|74.0
17320|33.0|341.0
46462|67.0|108.0
59742|1.0|955.0
51833|3.0|29.0
41088|132.0|53.0
76334|66.0|144.0
40044|245.0|1.0
74262|92.0|6.0
32270|63.0|2.0
56761|107.0|83.0
68103|175.0|34.0
44659|1.0|1092.0
34735|171.0|26.0
42215|215.0|37.0
19063|2.0|98.0
60373|14.0|275.0
50242|7.0|384.0
68067|1.0|561.0
40186|8.0|2.0
54073|5.0|404.0
54202|27.0|27.0
61962|10.0|3.0
68953|48.0|51.0
13687|33.0|159.0
36080|656.0|3.0
959|24.0|179.0
39762|1.0|41.0
75140|85.0|8.0
17618|52.0|208.0
72646|102.0|6.0
60730|199.0|3.0
69157|67.0|2.0
61871|130.0|92.0
536|5.0|118.0
6016|1.0|262.0
24997|12.0|2.0
14314|395.0|4.0
68250|59.0|1.0
78246|88.0|6.0
14442|543.0|16.0
57484|7.0|129.0
78303|22.0|3.0
46236|4.0|146.0
19326|35.0|47.0
11387|32.0|52.0
11197|33.0|49.0
15554|89.0|31.0
61837|2.0|888.0
15018|28.0|60.0
381|5.0|6.0
43113|14.0|52.0
65723|3.0|595.0
30007|182.0|15.0
71412|77.0|11.0
76993|339.0|6.0
12765|168.0|3.0
76606|2.0|381.0
14360|11.0|206.0
27457|11.0|1.0
37289|9.0|71.0
65181|19.0|19.0
37617|6.0|82.0
16028|5.0|50.0
22309|10.0|1.0
12034|12.0|26.0
76942|28.0|76.0
22230|74.0|1.0
44017|94.0|11.0
1059|109.0|1.0
69056|122.0|17.0
74576|406.0|23.0
42650|37.0|154.0
56638|16.0|491.0
36993|124.0|2.0
77996|1.0|412.0
63386|20.0|226.0
75851|24.0|22.0
71559|172.0|52.0
19640|13.0|47.0
27329|33.0|24.0
33690|12.0|38.0
63079|35.0|187.0
41440|27.0|191.0
66623|39.0|102.0
51000|73.0|9.0
18424|95.0|131.0
40078|50.0|43.0
